"-8.669079/-5.88399/0.35303938/Thu Nov 05 00:22:05 IST 2015,"
"-7.806093/-5.88399/0.8237586/Thu Nov 05 00:22:05 IST 2015,"
"-7.72764/-5.491724/0.1176798/Thu Nov 05 00:22:05 IST 2015,"
"-6.590069/-5.6878567/-1.2552512/Thu Nov 05 00:22:05 IST 2015,"
"-6.668522/-5.0994577/-1.4906107/Thu Nov 05 00:22:05 IST 2015,"
"-8.159133/-4.4718323/-1.0983448/Thu Nov 05 00:22:06 IST 2015,"
"-6.864655/-5.1779113/-2.1574628/Thu Nov 05 00:22:06 IST 2015,"
"-7.5707335/-3.80498/-1.2160245/Thu Nov 05 00:22:06 IST 2015,"
"-8.472945/-3.2558076/-0.0392266/Thu Nov 05 00:22:06 IST 2015,"
"-9.68897/-3.1381278/-1.5690639/Thu Nov 05 00:22:06 IST 2015,"
"-9.139797/-1.6475172/-2.3928225/Thu Nov 05 00:22:06 IST 2015,"
"-8.119906/-0.6668522/-1.6867437/Thu Nov 05 00:22:06 IST 2015,"
"-7.60996/-0.98066497/-1.2160245/Thu Nov 05 00:22:06 IST 2015,"
"-8.080679/-1.9613299/-0.8237586/Thu Nov 05 00:22:06 IST 2015,"
"-8.982891/-3.80498/-0.8237586/Thu Nov 05 00:22:06 IST 2015,"
"-9.767424/-4.3149257/-0.70607877/Thu Nov 05 00:22:06 IST 2015,"
"-11.728753/-5.1779113/-1.8828768/Thu Nov 05 00:22:06 IST 2015,"
"-11.179581/-5.2563643/-1.9221034/Thu Nov 05 00:22:06 IST 2015,"
"-7.963/-4.511059/0.78453195/Thu Nov 05 00:22:06 IST 2015,"
"-7.60996/-5.5309505/1.1375713/Thu Nov 05 00:22:06 IST 2015,"
"-9.92433/-4.9425516/1.3337044/Thu Nov 05 00:22:06 IST 2015,"
"-8.237586/-4.001113/2.5497289/Thu Nov 05 00:22:06 IST 2015,"
"-7.021561/-2.1182363/1.3337044/Thu Nov 05 00:22:06 IST 2015,"
"-6.550842/-2.5497289/-0.0/Thu Nov 05 00:22:06 IST 2015,"
"-8.472945/-2.2359161/-1.3337044/Thu Nov 05 00:22:06 IST 2015,"
"-8.512172/-4.118793/-4.118793/Thu Nov 05 00:22:06 IST 2015,"
"-6.668522/-3.8442068/-0.19613299/Thu Nov 05 00:22:06 IST 2015,"
"-13.062457/-1.8828768/2.2751427/Thu Nov 05 00:22:06 IST 2015,"
"-4.785645/-4.0403395/1.2944778/Thu Nov 05 00:22:06 IST 2015,"
"-6.0408964/-3.0596747/3.334261/Thu Nov 05 00:22:06 IST 2015,"
"-11.571847/-6.6292953/6.3154826/Thu Nov 05 00:22:07 IST 2015,"
"-11.6110735/-6.864655/-1.1375713/Thu Nov 05 00:22:07 IST 2015,"
"-10.708861/-6.1978025/-4.864098/Thu Nov 05 00:22:07 IST 2015,"
"-8.825985/-4.3149257/-3.1773546/Thu Nov 05 00:22:07 IST 2015,"
"-5.217138/-4.001113/-2.745862/Thu Nov 05 00:22:07 IST 2015,"
"-0.5099458/-4.0403395/-4.275699/Thu Nov 05 00:22:07 IST 2015,"
"-0.4707192/-6.00167/-0.70607877/Thu Nov 05 00:22:07 IST 2015,"
"-4.3541527/-6.9038815/8.355266/Thu Nov 05 00:22:07 IST 2015,"
"-4.5502853/-10.983448/2.1574628/Thu Nov 05 00:22:07 IST 2015,"
"-9.610517/-12.827098/-1.4513842/Thu Nov 05 00:22:07 IST 2015,"
"-11.571847/-11.29726/-0.9022118/Thu Nov 05 00:22:07 IST 2015,"
"-10.826541/-8.276813/-0.588399/Thu Nov 05 00:22:07 IST 2015,"
"-6.4723887/-6.7862015/1.6475172/Thu Nov 05 00:22:07 IST 2015,"
"-4.864098/-8.512172/1.3337044/Thu Nov 05 00:22:07 IST 2015,"
