"xplane" "yplane" "zplane" "time" "modulus"
"66" -8.669079 -5.88399 0.35303938 2015-11-05 00:22:05 10.4832678985215
"67" -7.806093 -5.88399 0.8237586 2015-11-05 00:22:05 9.80994416272707
"68" -7.72764 -5.491724 0.1176798 2015-11-05 00:22:05 9.48099683562356
"69" -6.590069 -5.6878567 -1.2552512 2015-11-05 00:22:05 8.79524751440216
"70" -6.668522 -5.0994577 -1.4906107 2015-11-05 00:22:05 8.5261699934688
"71" -8.159133 -4.4718323 -1.0983448 2015-11-05 00:22:06 9.36883646621603
"72" -6.864655 -5.1779113 -2.1574628 2015-11-05 00:22:06 8.865038039009
"73" -7.5707335 -3.80498 -1.2160245 2015-11-05 00:22:06 8.55994124471789
"74" -8.472945 -3.2558076 -0.0392266 2015-11-05 00:22:06 9.07703799856486
"75" -9.68897 -3.1381278 -1.5690639 2015-11-05 00:22:06 10.304656581969
"76" -9.139797 -1.6475172 -2.3928225 2015-11-05 00:22:06 9.59040153705835
"77" -8.119906 -0.6668522 -1.6867437 2015-11-05 00:22:06 8.32001620280697
"78" -7.60996 -0.98066497 -1.2160245 2015-11-05 00:22:06 7.7686492113871
"79" -8.080679 -1.9613299 -0.8237586 2015-11-05 00:22:06 8.35600181359177
"80" -8.982891 -3.80498 -0.8237586 2015-11-05 00:22:06 9.79023910583163
"81" -9.767424 -4.3149257 -0.70607877 2015-11-05 00:22:06 10.7013878829683
"82" -11.728753 -5.1779113 -1.8828768 2015-11-05 00:22:06 12.9583809717748
"83" -11.179581 -5.2563643 -1.9221034 2015-11-05 00:22:06 12.5022749317941
"84" -7.963 -4.511059 0.78453195 2015-11-05 00:22:06 9.18556000916938
"85" -7.60996 -5.5309505 1.1375713 2015-11-05 00:22:06 9.47612648172416
"86" -9.92433 -4.9425516 1.3337044 2015-11-05 00:22:06 11.1669113766584
"87" -8.237586 -4.001113 2.5497289 2015-11-05 00:22:06 9.50620038762387
"88" -7.021561 -2.1182363 1.3337044 2015-11-05 00:22:06 7.45439543664931
"89" -6.550842 -2.5497289 0 2015-11-05 00:22:06 7.02955534671
"90" -8.472945 -2.2359161 -1.3337044 2015-11-05 00:22:06 8.86390913795057
"91" -8.512172 -4.118793 -4.118793 2015-11-05 00:22:06 10.3143581337513
